dep;ivg_recours;ivg_horsdep;ivg_ville;ivg_chir;ivg_ag;img_horsdep;img_prive;ivg_privé;img_recours.x;ivg_eta_privé;ivg_1314;img_recours_av22;img_recours_ap22;img_recours.y;img_eta_prive;img_prop_av22;img_prop_ap22;dens_nb_gynec_2020;proxmat_2000;proxmat_2008;proxmat_2017;dens_nb_sgf_.2020;dens_nb_medg_2020;icf_.2020
54;1150.59754040111;9.49015648662292;7.16643092880717;19.9617041646721;100;17.6706827309237;81.6129032258064;14.4235652615541;55.3328378693603;12.5;5.66905005107252;100.099333266941;58.2210407777105;158.320374044651;16.6666666666667;63.2258064516129;36.7741935483871;13.6;0;0;0;30.3;99.1;153
55;658.795566693363;38.5474860335196;18.4313725490196;7.96812749003984;100;65.3846153846154;100;0;25.8351202624848;0;0.483091787439614;28.1195079086116;18.7463386057411;46.8658465143527;0;60;40;6.4;2;2.2;2.3;26.9;77.7;177
56;1131.55187674936;8.68131868131868;14.3763213530655;36.0151187904968;92.6536731634183;23.5555555555556;91.4572864321608;1.79012345679012;46.0515298677065;28.5714285714286;5.6390977443609;75.9265410715133;35.7301369748298;111.098394656111;40;68;32;9.5;1.1;1;1;23.8;96;184
57;1028.49367696494;14.1718013773106;16.5369649805447;28.9410828025478;99.5873452544704;29.4117647058824;94.3396226415094;17.2027972027972;29.2140227309108;33.3333333333333;5.93260560037969;46.7122952366538;32.5117574847111;79.2240527213649;16.6666666666667;58.9622641509434;41.0377358490566;12.3;0;0.2;0.1;26.9;78.8;160
58;921.24141055652;21.038961038961;40.1639344262295;13.9344262295082;100;41.9354838709677;100;0;57.8922197890709;0;4.16666666666667;96.9932104752667;0;96.9932104752667;0;100;0;9.7;2.7;11.6;15.6;14.1;72.9;177
59;1255.25375565503;5.0085096036956;22.41297655695;25.4375303840544;32.58480649785;6.6006600660066;75.1207729468599;0.259423164962613;64.9474178571216;21.0526315789474;5.71649883810999;125.555926386045;47.1008913634663;173.074872998299;29.4117647058824;72.7199354317998;27.2800645682002;14.9;0;0;0;22;96.7;182
60;964.727743625046;26.1569416498994;37.0758483033932;14.57185778668;99.6563573883162;50.7692307692308;86.2595419847328;0;21.663048135293;0;7.57825370675453;40.8231929568777;17.9442606403858;58.7674535972635;25;69.4656488549618;30.5343511450382;11.8;0;0;0;16.7;63.6;188
61;1027.56370200653;15.6673114119923;0;18.6528497409326;100;58.7628865979381;100;0;26.0362424494897;0;4.12371134020619;92.1351527378437;6.35414846467888;98.4893012025226;0;93.5483870967742;6.45161290322581;3.3;0;6.2;6.1;7.4;66.8;188
62;1106.66399839904;10.7634543178974;29.2947558770344;20.3878406708595;78.53470437018;22.3613595706619;78.6561264822134;0;55.1759627204894;0;6.0930576070901;96.7050086570854;38.1521130044392;134.062285973932;20;71.7092337917485;28.2907662082515;8.9;0;0;0;17;86.5;189
63;1143.22705148797;8.45771144278607;33.3333333333333;25.5214050493963;99.5698924731183;2.5;88.659793814433;10.0961538461538;81.8335603095018;20;5.46047269763651;102.237609498803;77.8399981411344;169.040592978135;20;56.7741935483871;43.2258064516129;12.9;1.6;3.8;3.4;27.1;97.9;162
64;1201.86887792169;9.8314606741573;51.5372589890568;27.6150627615063;99.8106060606061;18.5714285714286;63.8095238095238;8.70967741935484;42.5883708695543;28.5714285714286;9.29978118161926;79.7556523126185;44.8994783389556;124.064348041851;50;63.9810426540284;36.0189573459716;15.6;0.5;0.5;2.3;24.5;107.8;162
65;1116.16621170761;13.4715025906736;30.2536231884058;21.09375;99.0740740740741;49.2957746478873;63.1578947368421;41.038961038961;38.4187645334142;20;6.38297872340426;56.8882146581966;15.1701905755191;72.0584052337157;50;78.9473684210526;21.0526315789474;7.8;0.6;3.5;4.9;17.5;100.8;178
66;1791.15501800388;3.69978858350951;18.9690721649485;19.6382428940568;100;10.625;75.8169934640523;29.9618320610687;55.3965469485735;66.6666666666667;6.35838150289017;89.1674530139465;44.1508747933133;132.45262437994;50;66.8831168831169;33.1168831168831;20.3;3.1;4.6;4.6;21.7;117.8;182
67;968.044099412367;3.97031539888683;6.16080751827358;13.9306965348267;99.748743718593;1.01010101010101;95.6340956340956;0.741839762611276;54.9220982263195;14.2857142857143;2.12234706616729;92.9510521675802;39.9274279070362;153.640742586275;20;69.9519230769231;30.0480769230769;19;0;0.2;0.2;30.1;111.9;163
