"","dep_eta","ivg_recours","ivg_horsdep","ivg_ville","ivg_chir","ivg_ag","ivg_privé","img_recours","ivg_eta_privé","ivg_1314","dens_nb_gynec_2020","proxmat_2000","proxmat_2008","proxmat_2017","dens_nb_sgf_.2020","dens_nb_medg_2020","icf_.2020"
"41","40",990.248370238673,24.6212121212121,43.525571273123,27.103825136612,100,5.78034682080925,8.62022520338344,25,5.87084148727984,"8.9","7.8","7.5","6.4","31.1","101.9",173
"42","41",944.888562469987,15.6695156695157,3.73692077727952,41.8429003021148,25.2707581227437,7.45341614906832,33.8973475325556,33.3333333333333,5.4773082942097,"8.5","0.3","0.4","0.2","24.7","82.1",191
"43","42",1226.66992741138,8.48341232227488,35.1155414589941,20.6218564243256,100,2.58379888268156,61.6947720628286,28.5714285714286,6.72804532577904,"14.4","0","0.1","0.1","26.3","91.8",194
"44","43",569.708478959171,46.875,26.5957446808511,15.6028368794326,97.7272727272727,0,10.1012141659427,0,2.92682926829268,"9.3","3.2","3.2","3.3","24.7","89.6",179
"45","44",1073.86484758047,6.63973744004039,12.6550868486352,45.4683160817975,46.9739033870072,2.92613636363636,59.9552334257088,16.6666666666667,5.78993308117544,"12.8","0","0","0","26","94.4",179
"46","45",1138.56133862803,14.5498783454988,27.4760383386581,22.2103577148959,85.8173076923077,0,52.7448543453879,0,7.62331838565022,"11.2","0","0","0.2","18.3","66.9",194
"47","46",1076.15165821189,37.0600414078675,14.9863760217984,21.1864406779661,98.6666666666667,0,11.7291733865056,0,4.23452768729642,"3.9","6.3","7.3","23.8","20.6","94.3",167
"48","47",1404.27545510215,11.4604462474645,42.3191278493558,16.0443995963673,99.3710691823899,7.90378006872852,27.8349941546512,20,4.70383275261324,"6.8","1.5","1.3","1.2","17.8","72.3",181
"49","48",938.535149061465,25.5434782608696,20.9150326797386,16.6666666666667,96,0,6.13421666053245,0,4.16666666666667,"9.2","13","12.6","11.9","27.5","96.7",149
"50","49",920.644699709845,11.0494169905608,2.75229357798165,44.0088348978465,53.9523212045169,0,52.1682101832346,0,5.92178770949721,"9.9","0","0.1","0","28.6","95",185
